district,state,lgd_districtcode,latitude,longitude
Ambala,Haryana,58,30.343438108912817,76.95024921469127
Bhiwani,Haryana,59,28.73219288472609,75.89337821950218
Charkhi Dadri,Haryana,701,28.600107403877978,76.11252943314335
Faridabad,Haryana,60,28.357120662974946,77.32652466206271
Fatehabad,Haryana,61,29.535920901544625,75.57529013938226
Gurugram,Haryana,62,28.37015524993778,76.94146217624308
Hisar,Haryana,63,29.239590948148248,75.81763293528249
Jhajjar,Haryana,64,28.59801797300188,76.65110859741466
Jind,Haryana,65,29.437717022786753,76.27614551401206
Kaithal,Haryana,66,29.85338633918043,76.46879317699411
Karnal,Haryana,67,29.704818373204336,76.91565469449591
Kurukshetra,Haryana,68,30.060670122952907,76.7631052787682
Mahendragarh,Haryana,69,28.13306603907548,76.16809085698935
Nuh,Haryana,604,27.994038226060827,77.0415066894139
Palwal,Haryana,619,28.059881010119234,77.32236384154979
Panchkula,Haryana,70,30.699534905048324,76.98763552598416
Panipat,Haryana,71,29.34200687791469,76.88923900130017
Rewari,Haryana,72,28.218052063163164,76.58132633069286
Rohtak,Haryana,73,28.890391271768912,76.58711212346486
Sirsa,Haryana,74,29.607701636133694,74.90219049734955
Sonipat,Haryana,75,29.04144661205219,76.92269022620889
Yamunanagar,Haryana,76,30.21596046306505,77.32593352712522
Amritsar,Punjab,27,31.768348175268173,74.83152910633842
Barnala,Punjab,605,30.371680221986,75.50398867541129
Bathinda,Punjab,28,30.17871971019124,75.04726349831094
Faridkot,Punjab,29,30.601450692214993,74.7950175816776
Fatehgarh Sahib,Punjab,30,30.663404181746934,76.38030000408074
Fazilka,Punjab,651,30.31980391667596,74.12171938317266
Ferozepur,Punjab,31,30.87509200657761,74.65246116977548
Gurdaspur,Punjab,32,31.9037264151506,75.2275586781716
Hoshiarpur,Punjab,33,31.609219596154738,75.84642415551608
Jalandhar,Punjab,34,31.29216013175042,75.56799015005336
Kapurthala,Punjab,35,31.385696002099188,75.30507242617082
Ludhiana,Punjab,36,30.789407006337797,75.8269723540071
Malerkotla,Punjab,737,30.53539665453949,75.90930476301081
Mansa,Punjab,37,29.87609304897272,75.48897114252104
Moga,Punjab,38,30.78789813490662,75.15948622899586
Pathankot,Punjab,662,32.30240743677128,75.65917183518236
Patiala,Punjab,41,30.209446568832767,76.3401900977164
Rupnagar,Punjab,42,31.091852137104816,76.52884261538372
S A S Nagar,Punjab,608,30.648369118470583,76.74153537716319
Sangrur,Punjab,43,30.13610603133042,75.85318872676024
Shahid Bhagat Singh Nagar,Punjab,40,31.126968935184802,76.15989883059602
Sri Muktsar Sahib,Punjab,39,30.286716141703796,74.52622342534394
Tarn Taran,Punjab,609,31.321239581691394,74.84163356037237
