date,state,district,fire_count
2023-10-01,Haryana,Ambala,2
2023-10-01,Haryana,Hisar,1
2023-10-01,Haryana,Jhajjar,1
2023-10-01,Haryana,Jind,1
2023-10-01,Haryana,Kaithal,2
2023-10-01,Haryana,Kurukshetra,4
2023-10-01,Haryana,Palwal,1
2023-10-01,Haryana,Panchkula,2
2023-10-01,Haryana,Panipat,1
2023-10-01,Haryana,Sonipat,5
2023-10-01,Haryana,Yamunanagar,3
2023-10-01,Punjab,Amritsar,59
2023-10-01,Punjab,Bathinda,1
2023-10-01,Punjab,Ferozepur,1
2023-10-01,Punjab,Gurdaspur,1
2023-10-01,Punjab,Kapurthala,4
2023-10-01,Punjab,Patiala,5
2023-10-01,Punjab,S A S Nagar,1
2023-10-01,Punjab,Tarn Taran,6
2023-10-02,Haryana,Ambala,17
2023-10-02,Haryana,Bhiwani,1
2023-10-02,Haryana,Faridabad,1
2023-10-02,Haryana,Fatehabad,5
2023-10-02,Haryana,Hisar,1
2023-10-02,Haryana,Jhajjar,1
2023-10-02,Haryana,Jind,1
2023-10-02,Haryana,Kaithal,7
2023-10-02,Haryana,Karnal,2
2023-10-02,Haryana,Kurukshetra,14
2023-10-02,Haryana,Palwal,6
2023-10-02,Haryana,Panchkula,3
2023-10-02,Haryana,Panipat,1
2023-10-02,Haryana,Rohtak,1
2023-10-02,Haryana,Sonipat,3
2023-10-02,Haryana,Yamunanagar,15
2023-10-02,Punjab,Amritsar,174
2023-10-02,Punjab,Barnala,1
2023-10-02,Punjab,Bathinda,5
2023-10-02,Punjab,Faridkot,2
2023-10-02,Punjab,Fatehgarh Sahib,4
2023-10-02,Punjab,Ferozepur,8
2023-10-02,Punjab,Gurdaspur,1
2023-10-02,Punjab,Hoshiarpur,1
2023-10-02,Punjab,Jalandhar,5
2023-10-02,Punjab,Kapurthala,14
2023-10-02,Punjab,Ludhiana,1
2023-10-02,Punjab,Malerkotla,1
2023-10-02,Punjab,Mansa,3
2023-10-02,Punjab,Moga,3
2023-10-02,Punjab,Patiala,21
2023-10-02,Punjab,Rupnagar,1
2023-10-02,Punjab,S A S Nagar,11
2023-10-02,Punjab,Sangrur,8
2023-10-02,Punjab,Tarn Taran,29
2023-10-03,Haryana,Ambala,12
2023-10-03,Haryana,Charkhi Dadri,2
2023-10-03,Haryana,Fatehabad,1
2023-10-03,Haryana,Hisar,5
2023-10-03,Haryana,Jhajjar,4
2023-10-03,Haryana,Kaithal,5
2023-10-03,Haryana,Kurukshetra,4
2023-10-03,Haryana,Mahendragarh,1
2023-10-03,Haryana,Palwal,7
2023-10-03,Haryana,Panchkula,1
2023-10-03,Haryana,Panipat,3
2023-10-03,Haryana,Rohtak,2
2023-10-03,Haryana,Sirsa,1
2023-10-03,Haryana,Sonipat,2
2023-10-03,Haryana,Yamunanagar,3
2023-10-03,Punjab,Amritsar,78
2023-10-03,Punjab,Barnala,2
2023-10-03,Punjab,Bathinda,2
2023-10-03,Punjab,Fazilka,1
2023-10-03,Punjab,Ferozepur,4
2023-10-03,Punjab,Gurdaspur,3
2023-10-03,Punjab,Jalandhar,3
2023-10-03,Punjab,Kapurthala,15
2023-10-03,Punjab,Patiala,12
2023-10-03,Punjab,S A S Nagar,4
2023-10-03,Punjab,Sangrur,5
2023-10-03,Punjab,Tarn Taran,41
2023-10-04,Haryana,Ambala,16
2023-10-04,Haryana,Fatehabad,5
2023-10-04,Haryana,Gurugram,3
2023-10-04,Haryana,Hisar,8
2023-10-04,Haryana,Jind,6
2023-10-04,Haryana,Kaithal,2
2023-10-04,Haryana,Kurukshetra,10
2023-10-04,Haryana,Palwal,4
2023-10-04,Haryana,Panipat,2
2023-10-04,Haryana,Sirsa,1
2023-10-04,Haryana,Sonipat,5
2023-10-04,Haryana,Yamunanagar,2
2023-10-04,Punjab,Amritsar,95
2023-10-04,Punjab,Barnala,1
2023-10-04,Punjab,Bathinda,6
2023-10-04,Punjab,Faridkot,1
2023-10-04,Punjab,Fatehgarh Sahib,1
2023-10-04,Punjab,Ferozepur,5
2023-10-04,Punjab,Gurdaspur,1
2023-10-04,Punjab,Hoshiarpur,1
2023-10-04,Punjab,Jalandhar,1
2023-10-04,Punjab,Kapurthala,13
2023-10-04,Punjab,Ludhiana,6
2023-10-04,Punjab,Patiala,17
2023-10-04,Punjab,S A S Nagar,8
2023-10-04,Punjab,Sangrur,2
2023-10-04,Punjab,Shahid Bhagat Singh Nagar,1
2023-10-04,Punjab,Tarn Taran,37
2023-10-05,Haryana,Ambala,12
2023-10-05,Haryana,Bhiwani,1
2023-10-05,Haryana,Fatehabad,10
2023-10-05,Haryana,Hisar,6
2023-10-05,Haryana,Jhajjar,3
2023-10-05,Haryana,Jind,9
2023-10-05,Haryana,Kaithal,3
2023-10-05,Haryana,Kurukshetra,9
2023-10-05,Haryana,Nuh,1
2023-10-05,Haryana,Palwal,5
2023-10-05,Haryana,Panipat,4
2023-10-05,Haryana,Sirsa,3
2023-10-05,Haryana,Sonipat,2
2023-10-05,Haryana,Yamunanagar,5
2023-10-05,Punjab,Amritsar,130
2023-10-05,Punjab,Barnala,1
2023-10-05,Punjab,Bathinda,5
2023-10-05,Punjab,Faridkot,1
2023-10-05,Punjab,Fatehgarh Sahib,2
2023-10-05,Punjab,Fazilka,1
2023-10-05,Punjab,Ferozepur,8
2023-10-05,Punjab,Gurdaspur,6
2023-10-05,Punjab,Jalandhar,9
2023-10-05,Punjab,Kapurthala,11
2023-10-05,Punjab,Malerkotla,1
2023-10-05,Punjab,Mansa,7
2023-10-05,Punjab,Patiala,20
2023-10-05,Punjab,Rupnagar,1
2023-10-05,Punjab,S A S Nagar,3
2023-10-05,Punjab,Sangrur,8
2023-10-05,Punjab,Tarn Taran,35
2023-10-06,Haryana,Ambala,8
2023-10-06,Haryana,Fatehabad,9
2023-10-06,Haryana,Hisar,5
2023-10-06,Haryana,Jhajjar,3
2023-10-06,Haryana,Jind,7
2023-10-06,Haryana,Kaithal,4
2023-10-06,Haryana,Karnal,2
2023-10-06,Haryana,Kurukshetra,3
2023-10-06,Haryana,Palwal,2
2023-10-06,Haryana,Panchkula,2
2023-10-06,Haryana,Sirsa,2
2023-10-06,Haryana,Sonipat,1
2023-10-06,Haryana,Yamunanagar,2
2023-10-06,Punjab,Amritsar,84
2023-10-06,Punjab,Barnala,2
2023-10-06,Punjab,Bathinda,5
2023-10-06,Punjab,Faridkot,3
2023-10-06,Punjab,Ferozepur,5
2023-10-06,Punjab,Gurdaspur,2
2023-10-06,Punjab,Jalandhar,5
2023-10-06,Punjab,Kapurthala,8
2023-10-06,Punjab,Ludhiana,3
2023-10-06,Punjab,Malerkotla,4
2023-10-06,Punjab,Mansa,1
2023-10-06,Punjab,Moga,2
2023-10-06,Punjab,Patiala,19
2023-10-06,Punjab,S A S Nagar,5
2023-10-06,Punjab,Sangrur,12
2023-10-06,Punjab,Shahid Bhagat Singh Nagar,1
2023-10-06,Punjab,Tarn Taran,23
2023-10-07,Haryana,Ambala,10
2023-10-07,Haryana,Bhiwani,1
2023-10-07,Haryana,Faridabad,2
2023-10-07,Haryana,Fatehabad,4
2023-10-07,Haryana,Hisar,8
2023-10-07,Haryana,Jhajjar,3
2023-10-07,Haryana,Jind,6
2023-10-07,Haryana,Kaithal,7
2023-10-07,Haryana,Kurukshetra,8
2023-10-07,Haryana,Palwal,6
2023-10-07,Haryana,Panchkula,2
2023-10-07,Haryana,Panipat,4
2023-10-07,Haryana,Rohtak,1
2023-10-07,Haryana,Sonipat,3
2023-10-07,Haryana,Yamunanagar,9
2023-10-07,Punjab,Amritsar,88
2023-10-07,Punjab,Barnala,2
2023-10-07,Punjab,Bathinda,1
2023-10-07,Punjab,Faridkot,2
2023-10-07,Punjab,Fatehgarh Sahib,2
2023-10-07,Punjab,Ferozepur,8
2023-10-07,Punjab,Gurdaspur,5
2023-10-07,Punjab,Jalandhar,2
2023-10-07,Punjab,Kapurthala,11
2023-10-07,Punjab,Ludhiana,3
2023-10-07,Punjab,Mansa,3
2023-10-07,Punjab,Patiala,13
2023-10-07,Punjab,S A S Nagar,3
2023-10-07,Punjab,Sangrur,8
2023-10-07,Punjab,Tarn Taran,17
2023-10-08,Haryana,Ambala,22
2023-10-08,Haryana,Fatehabad,16
2023-10-08,Haryana,Hisar,14
2023-10-08,Haryana,Jhajjar,1
2023-10-08,Haryana,Jind,16
2023-10-08,Haryana,Kaithal,10
2023-10-08,Haryana,Karnal,6
2023-10-08,Haryana,Kurukshetra,12
2023-10-08,Haryana,Mahendragarh,1
2023-10-08,Haryana,Palwal,9
2023-10-08,Haryana,Panchkula,2
2023-10-08,Haryana,Panipat,5
2023-10-08,Haryana,Rohtak,2
2023-10-08,Haryana,Sirsa,4
2023-10-08,Haryana,Sonipat,11
2023-10-08,Haryana,Yamunanagar,9
2023-10-08,Punjab,Amritsar,70
2023-10-08,Punjab,Faridkot,1
2023-10-08,Punjab,Fatehgarh Sahib,6
2023-10-08,Punjab,Fazilka,2
2023-10-08,Punjab,Ferozepur,7
2023-10-08,Punjab,Gurdaspur,2
2023-10-08,Punjab,Jalandhar,1
2023-10-08,Punjab,Kapurthala,5
2023-10-08,Punjab,Ludhiana,5
2023-10-08,Punjab,Mansa,4
2023-10-08,Punjab,Patiala,37
2023-10-08,Punjab,S A S Nagar,12
2023-10-08,Punjab,Sangrur,17
2023-10-08,Punjab,Tarn Taran,26
2023-10-09,Haryana,Ambala,8
2023-10-09,Haryana,Charkhi Dadri,2
2023-10-09,Haryana,Faridabad,1
2023-10-09,Haryana,Fatehabad,9
2023-10-09,Haryana,Gurugram,2
2023-10-09,Haryana,Hisar,9
2023-10-09,Haryana,Jhajjar,2
2023-10-09,Haryana,Jind,7
2023-10-09,Haryana,Kaithal,9
2023-10-09,Haryana,Kurukshetra,2
2023-10-09,Haryana,Palwal,3
2023-10-09,Haryana,Panchkula,2
2023-10-09,Haryana,Panipat,7
2023-10-09,Haryana,Sonipat,3
2023-10-09,Haryana,Yamunanagar,3
2023-10-09,Punjab,Amritsar,13
2023-10-09,Punjab,Bathinda,2
2023-10-09,Punjab,Faridkot,3
2023-10-09,Punjab,Fatehgarh Sahib,5
2023-10-09,Punjab,Ferozepur,3
2023-10-09,Punjab,Jalandhar,3
2023-10-09,Punjab,Kapurthala,3
2023-10-09,Punjab,Ludhiana,2
2023-10-09,Punjab,Mansa,2
2023-10-09,Punjab,Moga,1
2023-10-09,Punjab,Patiala,19
2023-10-09,Punjab,S A S Nagar,1
2023-10-09,Punjab,Sangrur,9
2023-10-09,Punjab,Tarn Taran,17
2023-10-10,Haryana,Ambala,1
2023-10-10,Haryana,Bhiwani,1
2023-10-10,Haryana,Faridabad,1
2023-10-10,Haryana,Fatehabad,16
2023-10-10,Haryana,Hisar,14
2023-10-10,Haryana,Jhajjar,1
2023-10-10,Haryana,Jind,19
2023-10-10,Haryana,Kaithal,4
2023-10-10,Haryana,Karnal,1
2023-10-10,Haryana,Kurukshetra,3
2023-10-10,Haryana,Nuh,1
2023-10-10,Haryana,Palwal,1
2023-10-10,Haryana,Panipat,1
2023-10-10,Haryana,Sonipat,4
2023-10-10,Punjab,Amritsar,2
2023-10-10,Punjab,Bathinda,1
2023-10-10,Punjab,Ferozepur,3
2023-10-10,Punjab,Mansa,4
2023-10-10,Punjab,Patiala,3
2023-10-10,Punjab,Sangrur,11
2023-10-10,Punjab,Sri Muktsar Sahib,1
2023-10-10,Punjab,Tarn Taran,1
2023-10-11,Haryana,Ambala,3
2023-10-11,Haryana,Bhiwani,1
2023-10-11,Haryana,Faridabad,1
2023-10-11,Haryana,Fatehabad,17
2023-10-11,Haryana,Hisar,4
2023-10-11,Haryana,Jind,20
2023-10-11,Haryana,Kaithal,8
2023-10-11,Haryana,Karnal,3
2023-10-11,Haryana,Kurukshetra,1
2023-10-11,Haryana,Palwal,8
2023-10-11,Haryana,Panchkula,5
2023-10-11,Haryana,Panipat,5
2023-10-11,Haryana,Sirsa,3
2023-10-11,Haryana,Sonipat,10
2023-10-11,Haryana,Yamunanagar,3
2023-10-11,Punjab,Amritsar,10
2023-10-11,Punjab,Bathinda,1
2023-10-11,Punjab,Fatehgarh Sahib,3
2023-10-11,Punjab,Fazilka,2
2023-10-11,Punjab,Ferozepur,13
2023-10-11,Punjab,Malerkotla,1
2023-10-11,Punjab,Mansa,6
2023-10-11,Punjab,Moga,1
2023-10-11,Punjab,Patiala,18
2023-10-11,Punjab,S A S Nagar,2
2023-10-11,Punjab,Sangrur,17
2023-10-11,Punjab,Tarn Taran,10
2023-10-12,Haryana,Ambala,13
2023-10-12,Haryana,Bhiwani,1
2023-10-12,Haryana,Faridabad,1
2023-10-12,Haryana,Fatehabad,20
2023-10-12,Haryana,Gurugram,1
2023-10-12,Haryana,Hisar,15
2023-10-12,Haryana,Jhajjar,3
2023-10-12,Haryana,Jind,14
2023-10-12,Haryana,Kaithal,10
2023-10-12,Haryana,Karnal,2
2023-10-12,Haryana,Kurukshetra,10
2023-10-12,Haryana,Palwal,4
2023-10-12,Haryana,Panchkula,6
2023-10-12,Haryana,Panipat,2
2023-10-12,Haryana,Rewari,1
2023-10-12,Haryana,Sirsa,3
2023-10-12,Haryana,Sonipat,6
2023-10-12,Haryana,Yamunanagar,7
2023-10-12,Punjab,Amritsar,28
2023-10-12,Punjab,Barnala,2
2023-10-12,Punjab,Bathinda,5
2023-10-12,Punjab,Faridkot,5
2023-10-12,Punjab,Fatehgarh Sahib,11
2023-10-12,Punjab,Fazilka,1
2023-10-12,Punjab,Ferozepur,10
2023-10-12,Punjab,Gurdaspur,2
2023-10-12,Punjab,Jalandhar,1
2023-10-12,Punjab,Kapurthala,4
2023-10-12,Punjab,Ludhiana,3
2023-10-12,Punjab,Malerkotla,2
2023-10-12,Punjab,Mansa,11
2023-10-12,Punjab,Moga,2
2023-10-12,Punjab,Patiala,29
2023-10-12,Punjab,Rupnagar,4
2023-10-12,Punjab,S A S Nagar,10
2023-10-12,Punjab,Sangrur,8
2023-10-12,Punjab,Tarn Taran,19
2023-10-13,Haryana,Ambala,13
2023-10-13,Haryana,Bhiwani,2
2023-10-13,Haryana,Faridabad,1
2023-10-13,Haryana,Fatehabad,20
2023-10-13,Haryana,Gurugram,3
2023-10-13,Haryana,Hisar,12
2023-10-13,Haryana,Jhajjar,3
2023-10-13,Haryana,Jind,10
2023-10-13,Haryana,Kaithal,9
2023-10-13,Haryana,Karnal,2
2023-10-13,Haryana,Kurukshetra,11
2023-10-13,Haryana,Palwal,8
2023-10-13,Haryana,Panchkula,3
2023-10-13,Haryana,Panipat,1
2023-10-13,Haryana,Rohtak,5
2023-10-13,Haryana,Sirsa,9
2023-10-13,Haryana,Sonipat,7
2023-10-13,Haryana,Yamunanagar,7
2023-10-13,Punjab,Amritsar,81
2023-10-13,Punjab,Barnala,2
2023-10-13,Punjab,Bathinda,2
2023-10-13,Punjab,Fatehgarh Sahib,12
2023-10-13,Punjab,Fazilka,2
2023-10-13,Punjab,Ferozepur,8
2023-10-13,Punjab,Gurdaspur,5
2023-10-13,Punjab,Jalandhar,2
2023-10-13,Punjab,Kapurthala,11
2023-10-13,Punjab,Ludhiana,12
2023-10-13,Punjab,Malerkotla,1
2023-10-13,Punjab,Mansa,15
2023-10-13,Punjab,Moga,4
2023-10-13,Punjab,Patiala,45
2023-10-13,Punjab,Rupnagar,1
2023-10-13,Punjab,S A S Nagar,13
2023-10-13,Punjab,Sangrur,21
2023-10-13,Punjab,Tarn Taran,43
2023-10-14,Haryana,Ambala,13
2023-10-14,Haryana,Fatehabad,12
2023-10-14,Haryana,Hisar,25
2023-10-14,Haryana,Jhajjar,1
2023-10-14,Haryana,Jind,20
2023-10-14,Haryana,Kaithal,15
2023-10-14,Haryana,Karnal,4
2023-10-14,Haryana,Kurukshetra,8
2023-10-14,Haryana,Palwal,7
2023-10-14,Haryana,Panchkula,2
2023-10-14,Haryana,Panipat,1
2023-10-14,Haryana,Sirsa,4
2023-10-14,Haryana,Sonipat,3
2023-10-14,Haryana,Yamunanagar,9
2023-10-14,Punjab,Amritsar,31
2023-10-14,Punjab,Barnala,1
2023-10-14,Punjab,Bathinda,4
2023-10-14,Punjab,Faridkot,3
2023-10-14,Punjab,Fatehgarh Sahib,17
2023-10-14,Punjab,Fazilka,5
2023-10-14,Punjab,Ferozepur,12
2023-10-14,Punjab,Jalandhar,4
2023-10-14,Punjab,Kapurthala,8
2023-10-14,Punjab,Ludhiana,5
2023-10-14,Punjab,Malerkotla,1
2023-10-14,Punjab,Mansa,15
2023-10-14,Punjab,Moga,7
2023-10-14,Punjab,Patiala,40
2023-10-14,Punjab,Rupnagar,2
2023-10-14,Punjab,S A S Nagar,12
2023-10-14,Punjab,Sangrur,27
2023-10-14,Punjab,Shahid Bhagat Singh Nagar,1
2023-10-14,Punjab,Tarn Taran,9
2023-10-15,Haryana,Ambala,23
2023-10-15,Haryana,Bhiwani,2
2023-10-15,Haryana,Fatehabad,45
2023-10-15,Haryana,Gurugram,1
2023-10-15,Haryana,Hisar,16
2023-10-15,Haryana,Jhajjar,3
2023-10-15,Haryana,Jind,24
2023-10-15,Haryana,Kaithal,23
2023-10-15,Haryana,Karnal,16
2023-10-15,Haryana,Kurukshetra,25
2023-10-15,Haryana,Palwal,12
2023-10-15,Haryana,Panipat,4
2023-10-15,Haryana,Rohtak,4
2023-10-15,Haryana,Sirsa,6
2023-10-15,Haryana,Sonipat,12
