district,state,date,fire_count,year,month,day,day_of_season
Ambala,Haryana,2023-10-01,2,2023,10,1,1
Bhiwani,Haryana,2023-10-01,0,2023,10,1,1
Charkhi Dadri,Haryana,2023-10-01,0,2023,10,1,1
Faridabad,Haryana,2023-10-01,0,2023,10,1,1
Fatehabad,Haryana,2023-10-01,0,2023,10,1,1
Gurugram,Haryana,2023-10-01,0,2023,10,1,1
Hisar,Haryana,2023-10-01,1,2023,10,1,1
Jhajjar,Haryana,2023-10-01,1,2023,10,1,1
Jind,Haryana,2023-10-01,1,2023,10,1,1
Kaithal,Haryana,2023-10-01,2,2023,10,1,1
Karnal,Haryana,2023-10-01,0,2023,10,1,1
Kurukshetra,Haryana,2023-10-01,4,2023,10,1,1
Mahendragarh,Haryana,2023-10-01,0,2023,10,1,1
Nuh,Haryana,2023-10-01,0,2023,10,1,1
Palwal,Haryana,2023-10-01,1,2023,10,1,1
Panchkula,Haryana,2023-10-01,2,2023,10,1,1
Panipat,Haryana,2023-10-01,1,2023,10,1,1
Rewari,Haryana,2023-10-01,0,2023,10,1,1
Rohtak,Haryana,2023-10-01,0,2023,10,1,1
Sirsa,Haryana,2023-10-01,0,2023,10,1,1
Sonipat,Haryana,2023-10-01,5,2023,10,1,1
Yamunanagar,Haryana,2023-10-01,3,2023,10,1,1
Amritsar,Punjab,2023-10-01,59,2023,10,1,1
Barnala,Punjab,2023-10-01,0,2023,10,1,1
Bathinda,Punjab,2023-10-01,1,2023,10,1,1
Faridkot,Punjab,2023-10-01,0,2023,10,1,1
Fatehgarh Sahib,Punjab,2023-10-01,0,2023,10,1,1
Fazilka,Punjab,2023-10-01,0,2023,10,1,1
Ferozepur,Punjab,2023-10-01,1,2023,10,1,1
Gurdaspur,Punjab,2023-10-01,1,2023,10,1,1
Hoshiarpur,Punjab,2023-10-01,0,2023,10,1,1
Jalandhar,Punjab,2023-10-01,0,2023,10,1,1
Kapurthala,Punjab,2023-10-01,4,2023,10,1,1
Ludhiana,Punjab,2023-10-01,0,2023,10,1,1
Malerkotla,Punjab,2023-10-01,0,2023,10,1,1
Mansa,Punjab,2023-10-01,0,2023,10,1,1
Moga,Punjab,2023-10-01,0,2023,10,1,1
Pathankot,Punjab,2023-10-01,0,2023,10,1,1
Patiala,Punjab,2023-10-01,5,2023,10,1,1
Rupnagar,Punjab,2023-10-01,0,2023,10,1,1
S A S Nagar,Punjab,2023-10-01,1,2023,10,1,1
Sangrur,Punjab,2023-10-01,0,2023,10,1,1
Shahid Bhagat Singh Nagar,Punjab,2023-10-01,0,2023,10,1,1
Sri Muktsar Sahib,Punjab,2023-10-01,0,2023,10,1,1
Tarn Taran,Punjab,2023-10-01,6,2023,10,1,1
Ambala,Haryana,2023-10-02,17,2023,10,2,2
Bhiwani,Haryana,2023-10-02,1,2023,10,2,2
Charkhi Dadri,Haryana,2023-10-02,0,2023,10,2,2
Faridabad,Haryana,2023-10-02,1,2023,10,2,2
Fatehabad,Haryana,2023-10-02,5,2023,10,2,2
Gurugram,Haryana,2023-10-02,0,2023,10,2,2
Hisar,Haryana,2023-10-02,1,2023,10,2,2
Jhajjar,Haryana,2023-10-02,1,2023,10,2,2
Jind,Haryana,2023-10-02,1,2023,10,2,2
Kaithal,Haryana,2023-10-02,7,2023,10,2,2
Karnal,Haryana,2023-10-02,2,2023,10,2,2
Kurukshetra,Haryana,2023-10-02,14,2023,10,2,2
Mahendragarh,Haryana,2023-10-02,0,2023,10,2,2
Nuh,Haryana,2023-10-02,0,2023,10,2,2
Palwal,Haryana,2023-10-02,6,2023,10,2,2
Panchkula,Haryana,2023-10-02,3,2023,10,2,2
Panipat,Haryana,2023-10-02,1,2023,10,2,2
Rewari,Haryana,2023-10-02,0,2023,10,2,2
Rohtak,Haryana,2023-10-02,1,2023,10,2,2
Sirsa,Haryana,2023-10-02,0,2023,10,2,2
Sonipat,Haryana,2023-10-02,3,2023,10,2,2
Yamunanagar,Haryana,2023-10-02,15,2023,10,2,2
Amritsar,Punjab,2023-10-02,174,2023,10,2,2
Barnala,Punjab,2023-10-02,1,2023,10,2,2
Bathinda,Punjab,2023-10-02,5,2023,10,2,2
Faridkot,Punjab,2023-10-02,2,2023,10,2,2
Fatehgarh Sahib,Punjab,2023-10-02,4,2023,10,2,2
Fazilka,Punjab,2023-10-02,0,2023,10,2,2
Ferozepur,Punjab,2023-10-02,8,2023,10,2,2
Gurdaspur,Punjab,2023-10-02,1,2023,10,2,2
Hoshiarpur,Punjab,2023-10-02,1,2023,10,2,2
Jalandhar,Punjab,2023-10-02,5,2023,10,2,2
Kapurthala,Punjab,2023-10-02,14,2023,10,2,2
Ludhiana,Punjab,2023-10-02,1,2023,10,2,2
Malerkotla,Punjab,2023-10-02,1,2023,10,2,2
