date,state,district,latitude,longitude,T2M,RH2M,WS2M,PRECTOTCORR
2023-10-01,Haryana,Ambala,30.343438108912817,76.95024921469127,25.07,70.53,1.31,0.15
2023-10-01,Haryana,Bhiwani,28.73219288472609,75.89337821950218,28.82,38.66,1.77,0.0
2023-10-01,Haryana,Charkhi Dadri,28.600107403877978,76.11252943314335,27.92,44.36,1.89,0.0
2023-10-01,Haryana,Faridabad,28.357120662974943,77.32652466206271,25.55,62.69,1.9,0.0
2023-10-01,Haryana,Fatehabad,29.535920901544625,75.57529013938226,27.82,41.54,1.8,0.0
2023-10-01,Haryana,Gurugram,28.37015524993778,76.94146217624308,26.93,50.52,1.95,0.0
2023-10-01,Haryana,Hisar,29.239590948148248,75.81763293528249,28.74,38.31,1.9,0.0
2023-10-01,Haryana,Jhajjar,28.59801797300188,76.65110859741466,26.93,50.52,1.95,0.0
2023-10-01,Haryana,Jind,29.437717022786757,76.27614551401206,26.78,47.98,1.95,0.0
2023-10-01,Haryana,Kaithal,29.85338633918043,76.46879317699411,25.14,59.24,1.69,0.01
2023-10-01,Haryana,Karnal,29.704818373204336,76.91565469449591,25.64,57.9,1.95,0.03
2023-10-01,Haryana,Kurukshetra,30.060670122952907,76.7631052787682,24.66,69.17,1.58,0.08
2023-10-01,Haryana,Mahendragarh,28.13306603907548,76.16809085698935,27.13,48.82,1.65,0.0
2023-10-01,Haryana,Nuh,27.994038226060827,77.0415066894139,26.84,52.8,1.85,0.0
2023-10-01,Haryana,Palwal,28.059881010119238,77.32236384154979,25.9,60.67,1.94,0.0
2023-10-01,Haryana,Panchkula,30.699534905048324,76.98763552598416,25.07,70.53,1.31,0.15
2023-10-01,Haryana,Panipat,29.34200687791469,76.88923900130017,25.64,57.9,1.95,0.03
2023-10-01,Haryana,Rewari,28.218052063163164,76.58132633069286,26.84,52.8,1.85,0.0
2023-10-01,Haryana,Rohtak,28.890391271768912,76.58711212346486,26.74,50.25,2.07,0.0
2023-10-01,Haryana,Sirsa,29.607701636133694,74.90219049734955,27.71,44.11,1.56,0.0
2023-10-01,Haryana,Sonipat,29.04144661205219,76.92269022620889,26.74,50.25,2.07,0.0
2023-10-01,Haryana,Yamunanagar,30.21596046306505,77.32593352712522,24.92,77.08,1.1,0.77
2023-10-01,Punjab,Amritsar,31.768348175268173,74.83152910633842,25.09,58.76,0.77,0.01
2023-10-01,Punjab,Barnala,30.371680221986,75.50398867541129,25.66,57.26,1.15,0.0
2023-10-01,Punjab,Bathinda,30.17871971019124,75.04726349831094,27.24,46.53,1.31,0.0
2023-10-01,Punjab,Faridkot,30.601450692214996,74.7950175816776,26.89,48.35,0.98,0.0
2023-10-01,Punjab,Fatehgarh Sahib,30.66340418174693,76.38030000408074,24.58,68.15,1.45,0.04
2023-10-01,Punjab,Fazilka,30.31980391667596,74.12171938317266,27.98,41.71,0.96,0.0
2023-10-01,Punjab,Ferozepur,30.87509200657761,74.65246116977548,27.18,46.02,0.97,0.0
2023-10-01,Punjab,Gurdaspur,31.9037264151506,75.2275586781716,25.09,58.76,0.77,0.01
2023-10-01,Punjab,Hoshiarpur,31.609219596154738,75.84642415551608,24.77,64.95,0.9,0.08
2023-10-01,Punjab,Jalandhar,31.29216013175042,75.56799015005336,24.77,64.95,0.9,0.08
2023-10-01,Punjab,Kapurthala,31.385696002099188,75.30507242617082,25.46,58.21,0.98,0.0
2023-10-01,Punjab,Ludhiana,30.7894070063378,75.8269723540071,25.15,62.87,1.02,0.01
2023-10-01,Punjab,Malerkotla,30.53539665453949,75.90930476301081,25.66,57.26,1.15,0.0
2023-10-01,Punjab,Mansa,29.87609304897272,75.48897114252104,26.5,50.04,1.46,0.0
2023-10-01,Punjab,Moga,30.78789813490662,75.15948622899586,26.28,53.06,0.93,0.0
2023-10-01,Punjab,Pathankot,32.30240743677128,75.65917183518236,22.11,61.03,1.15,0.49
2023-10-01,Punjab,Patiala,30.209446568832767,76.3401900977164,25.14,59.24,1.69,0.01
2023-10-01,Punjab,Rupnagar,31.091852137104816,76.52884261538372,25.03,67.8,1.2,0.13
2023-10-01,Punjab,S A S Nagar,30.648369118470583,76.74153537716319,25.07,70.53,1.31,0.15
2023-10-01,Punjab,Sangrur,30.13610603133042,75.85318872676024,26.5,50.04,1.46,0.0
2023-10-01,Punjab,Shahid Bhagat Singh Nagar,31.1269689351848,76.15989883059602,25.03,67.8,1.2,0.13
2023-10-01,Punjab,Sri Muktsar Sahib,30.2867161417038,74.52622342534394,27.98,41.71,0.96,0.0
2023-10-01,Punjab,Tarn Taran,31.321239581691398,74.84163356037237,25.46,58.21,0.98,0.0
2023-10-02,Haryana,Ambala,30.343438108912817,76.95024921469127,23.76,65.29,1.28,0.05
2023-10-02,Haryana,Bhiwani,28.73219288472609,75.89337821950218,28.7,32.88,1.9,0.0
2023-10-02,Haryana,Charkhi Dadri,28.600107403877978,76.11252943314335,27.7,40.4,1.87,0.0
2023-10-02,Haryana,Faridabad,28.357120662974943,77.32652466206271,25.44,58.1,2.13,0.0
2023-10-02,Haryana,Fatehabad,29.535920901544625,75.57529013938226,27.66,35.2,1.63,0.0
2023-10-02,Haryana,Gurugram,28.37015524993778,76.94146217624308,26.56,48.29,1.92,0.0
2023-10-02,Haryana,Hisar,29.239590948148248,75.81763293528249,28.5,32.7,1.81,0.0
2023-10-02,Haryana,Jhajjar,28.59801797300188,76.65110859741466,26.56,48.29,1.92,0.0
2023-10-02,Haryana,Jind,29.437717022786757,76.27614551401206,26.76,39.22,1.74,0.0
2023-10-02,Haryana,Kaithal,29.85338633918043,76.46879317699411,25.43,46.34,1.54,0.0
2023-10-02,Haryana,Karnal,29.704818373204336,76.91565469449591,25.36,49.46,1.89,0.0
2023-10-02,Haryana,Kurukshetra,30.060670122952907,76.7631052787682,24.01,60.27,1.71,0.0
2023-10-02,Haryana,Mahendragarh,28.13306603907548,76.16809085698935,27.15,43.49,1.68,0.0
2023-10-02,Haryana,Nuh,27.994038226060827,77.0415066894139,26.65,49.71,1.83,0.0
2023-10-02,Haryana,Palwal,28.059881010119238,77.32236384154979,25.96,56.96,2.1,0.0
2023-10-02,Haryana,Panchkula,30.699534905048324,76.98763552598416,23.76,65.29,1.28,0.05
2023-10-02,Haryana,Panipat,29.34200687791469,76.88923900130017,25.36,49.46,1.89,0.0
2023-10-02,Haryana,Rewari,28.218052063163164,76.58132633069286,26.65,49.71,1.83,0.0
2023-10-02,Haryana,Rohtak,28.890391271768912,76.58711212346486,26.37,46.52,1.98,0.0
2023-10-02,Haryana,Sirsa,29.607701636133694,74.90219049734955,27.64,37.99,1.47,0.0
2023-10-02,Haryana,Sonipat,29.04144661205219,76.92269022620889,26.37,46.52,1.98,0.0
2023-10-02,Haryana,Yamunanagar,30.21596046306505,77.32593352712522,24.15,67.46,1.54,0.0
2023-10-02,Punjab,Amritsar,31.768348175268173,74.83152910633842,24.74,56.43,0.79,0.3
