feature,importance
num__fire_mean_7d,0.15851986210495897
num__fire_mean_3d,0.1535961873002351
num__fire_lag_1d,0.1153685091964498
num__season_cos,0.08159058193914623
num__fire_lag_3d,0.07865816549023558
num__fire_lag_7d,0.06656315193627721
num__season_sin,0.06338835889655234
num__T2M,0.06301432934583062
num__RH2M,0.05468440355086153
num__PRECTOTCORR,0.045298210938944816
num__WS2M,0.034969790276048934
cat__state_Punjab,0.01216321751764152
cat__state_Haryana,0.011485299332964917
cat__district_Panipat,0.0036527994197873724
cat__district_Pathankot,0.0035124373713454537
cat__district_Karnal,0.0025648096248762713
cat__district_Jhajjar,0.002499651829565516
cat__district_Rohtak,0.0024168616370191472
cat__district_Yamunanagar,0.002356745990710628
cat__district_Sonipat,0.0022649401336670275
cat__district_Sirsa,0.002036337126791351
cat__district_Nuh,0.0018530058723354103
cat__district_Panchkula,0.0016953418048078824
cat__district_S A S Nagar,0.0016949682194207151
cat__district_Hisar,0.001600078074331963
cat__district_Ambala,0.0015448064477580543
cat__district_Rupnagar,0.0015297145186724168
cat__district_Mahendragarh,0.0014572519151432742
cat__district_Rewari,0.0012251444572714048
cat__district_Charkhi Dadri,0.00120252067927652
cat__district_Hoshiarpur,0.0011858575280164017
cat__district_Gurdaspur,0.001143008774722772
cat__district_Gurugram,0.0011356643160921488
cat__district_Kapurthala,0.0010790707358008355
cat__district_Jalandhar,0.0010576338853572225
cat__district_Bathinda,0.0010447356048801772
cat__district_Fatehgarh Sahib,0.0010294328785102527
cat__district_Fatehabad,0.0010132775862485763
cat__district_Bhiwani,0.0010129715286454186
cat__district_Faridabad,0.0010050340716056248
cat__district_Malerkotla,0.0009656380046993578
cat__district_Ludhiana,0.0009628178947046951
cat__district_Palwal,0.0009568039357555913
cat__district_Moga,0.0009530688590332357
cat__district_Shahid Bhagat Singh Nagar,0.0009148521265490462
cat__district_Sri Muktsar Sahib,0.000907071286854763
cat__district_Jind,0.000900216800624687
cat__district_Kurukshetra,0.0008782381088440427
cat__district_Faridkot,0.000876901663416858
cat__district_Fazilka,0.0008599798967396329
cat__district_Amritsar,0.0008314357745687498
cat__district_Kaithal,0.0007869122010342887
cat__district_Ferozepur,0.0007787748431363052
cat__district_Mansa,0.0007782238129066582
cat__district_Sangrur,0.0006495514060465276
cat__district_Patiala,0.0006484530041800842
cat__district_Barnala,0.0006287513906316721
cat__district_Tarn Taran,0.0006081391314664536
