date,state,district,fire_count,fire_lag_1d,fire_lag_3d,fire_lag_7d,fire_mean_3d,fire_mean_7d
2023-10-01,Haryana,Ambala,2.0,,,,,
2023-10-01,Haryana,Hisar,1.0,,,,,
2023-10-01,Haryana,Jhajjar,1.0,,,,,
2023-10-01,Haryana,Jind,1.0,,,,,
2023-10-01,Haryana,Kaithal,2.0,,,,,
2023-10-01,Haryana,Kurukshetra,4.0,,,,,
2023-10-01,Haryana,Palwal,1.0,,,,,
2023-10-01,Haryana,Panchkula,2.0,,,,,
2023-10-01,Haryana,Panipat,1.0,,,,,
2023-10-01,Haryana,Sonipat,5.0,,,,,
2023-10-01,Haryana,Yamunanagar,3.0,,,,,
2023-10-01,Punjab,Amritsar,59.0,,,,,
2023-10-01,Punjab,Bathinda,1.0,,,,,
2023-10-01,Punjab,Ferozepur,1.0,,,,,
2023-10-01,Punjab,Gurdaspur,1.0,,,,,
2023-10-01,Punjab,Kapurthala,4.0,,,,,
2023-10-01,Punjab,Patiala,5.0,,,,,
2023-10-01,Punjab,S A S Nagar,1.0,,,,,
2023-10-01,Punjab,Tarn Taran,6.0,,,,,
2023-10-02,Haryana,Ambala,17.0,2.0,,,,
2023-10-02,Haryana,Bhiwani,1.0,,,,,
2023-10-02,Haryana,Faridabad,1.0,,,,,
2023-10-02,Haryana,Fatehabad,5.0,,,,,
2023-10-02,Haryana,Hisar,1.0,1.0,,,,
2023-10-02,Haryana,Jhajjar,1.0,1.0,,,,
2023-10-02,Haryana,Jind,1.0,1.0,,,,
2023-10-02,Haryana,Kaithal,7.0,2.0,,,,
2023-10-02,Haryana,Karnal,2.0,,,,,
2023-10-02,Haryana,Kurukshetra,14.0,4.0,,,,
2023-10-02,Haryana,Palwal,6.0,1.0,,,,
2023-10-02,Haryana,Panchkula,3.0,2.0,,,,
2023-10-02,Haryana,Panipat,1.0,1.0,,,,
2023-10-02,Haryana,Rohtak,1.0,,,,,
2023-10-02,Haryana,Sonipat,3.0,5.0,,,,
2023-10-02,Haryana,Yamunanagar,15.0,3.0,,,,
2023-10-02,Punjab,Amritsar,174.0,59.0,,,,
2023-10-02,Punjab,Barnala,1.0,,,,,
2023-10-02,Punjab,Bathinda,5.0,1.0,,,,
2023-10-02,Punjab,Faridkot,2.0,,,,,
2023-10-02,Punjab,Fatehgarh Sahib,4.0,,,,,
2023-10-02,Punjab,Ferozepur,8.0,1.0,,,,
2023-10-02,Punjab,Gurdaspur,1.0,1.0,,,,
2023-10-02,Punjab,Hoshiarpur,1.0,,,,,
2023-10-02,Punjab,Jalandhar,5.0,,,,,
2023-10-02,Punjab,Kapurthala,14.0,4.0,,,,
2023-10-02,Punjab,Ludhiana,1.0,,,,,
2023-10-02,Punjab,Malerkotla,1.0,,,,,
2023-10-02,Punjab,Mansa,3.0,,,,,
2023-10-02,Punjab,Moga,3.0,,,,,
2023-10-02,Punjab,Patiala,21.0,5.0,,,,
2023-10-02,Punjab,Rupnagar,1.0,,,,,
2023-10-02,Punjab,S A S Nagar,11.0,1.0,,,,
2023-10-02,Punjab,Sangrur,8.0,,,,,
2023-10-02,Punjab,Tarn Taran,29.0,6.0,,,,
2023-10-03,Haryana,Ambala,12.0,17.0,,,,
2023-10-03,Haryana,Charkhi Dadri,2.0,,,,,
2023-10-03,Haryana,Fatehabad,1.0,5.0,,,,
2023-10-03,Haryana,Hisar,5.0,1.0,,,,
2023-10-03,Haryana,Jhajjar,4.0,1.0,,,,
2023-10-03,Haryana,Kaithal,5.0,7.0,,,,
2023-10-03,Haryana,Kurukshetra,4.0,14.0,,,,
2023-10-03,Haryana,Mahendragarh,1.0,,,,,
2023-10-03,Haryana,Palwal,7.0,6.0,,,,
2023-10-03,Haryana,Panchkula,1.0,3.0,,,,
2023-10-03,Haryana,Panipat,3.0,1.0,,,,
2023-10-03,Haryana,Rohtak,2.0,1.0,,,,
2023-10-03,Haryana,Sirsa,1.0,,,,,
2023-10-03,Haryana,Sonipat,2.0,3.0,,,,
2023-10-03,Haryana,Yamunanagar,3.0,15.0,,,,
2023-10-03,Punjab,Amritsar,78.0,174.0,,,,
2023-10-03,Punjab,Barnala,2.0,1.0,,,,
2023-10-03,Punjab,Bathinda,2.0,5.0,,,,
2023-10-03,Punjab,Fazilka,1.0,,,,,
2023-10-03,Punjab,Ferozepur,4.0,8.0,,,,
2023-10-03,Punjab,Gurdaspur,3.0,1.0,,,,
2023-10-03,Punjab,Jalandhar,3.0,5.0,,,,
2023-10-03,Punjab,Kapurthala,15.0,14.0,,,,
2023-10-03,Punjab,Patiala,12.0,21.0,,,,
2023-10-03,Punjab,S A S Nagar,4.0,11.0,,,,
2023-10-03,Punjab,Sangrur,5.0,8.0,,,,
2023-10-03,Punjab,Tarn Taran,41.0,29.0,,,,
2023-10-04,Haryana,Ambala,16.0,12.0,2.0,,10.333333333333334,
2023-10-04,Haryana,Fatehabad,5.0,1.0,,,,
2023-10-04,Haryana,Gurugram,3.0,,,,,
2023-10-04,Haryana,Hisar,8.0,5.0,1.0,,2.3333333333333335,
2023-10-04,Haryana,Jind,6.0,1.0,,,,
2023-10-04,Haryana,Kaithal,2.0,5.0,2.0,,4.666666666666667,
2023-10-04,Haryana,Kurukshetra,10.0,4.0,4.0,,7.333333333333333,
2023-10-04,Haryana,Palwal,4.0,7.0,1.0,,4.666666666666667,
2023-10-04,Haryana,Panipat,2.0,3.0,1.0,,1.6666666666666667,
2023-10-04,Haryana,Sirsa,1.0,1.0,,,,
2023-10-04,Haryana,Sonipat,5.0,2.0,5.0,,3.3333333333333335,
2023-10-04,Haryana,Yamunanagar,2.0,3.0,3.0,,7.0,
2023-10-04,Punjab,Amritsar,95.0,78.0,59.0,,103.66666666666667,
2023-10-04,Punjab,Barnala,1.0,2.0,,,,
2023-10-04,Punjab,Bathinda,6.0,2.0,1.0,,2.6666666666666665,
2023-10-04,Punjab,Faridkot,1.0,2.0,,,,
2023-10-04,Punjab,Fatehgarh Sahib,1.0,4.0,,,,
2023-10-04,Punjab,Ferozepur,5.0,4.0,1.0,,4.333333333333333,
2023-10-04,Punjab,Gurdaspur,1.0,3.0,1.0,,1.6666666666666667,
2023-10-04,Punjab,Hoshiarpur,1.0,1.0,,,,
2023-10-04,Punjab,Jalandhar,1.0,3.0,,,,
2023-10-04,Punjab,Kapurthala,13.0,15.0,4.0,,11.0,
2023-10-04,Punjab,Ludhiana,6.0,1.0,,,,
2023-10-04,Punjab,Patiala,17.0,12.0,5.0,,12.666666666666666,
2023-10-04,Punjab,S A S Nagar,8.0,4.0,1.0,,5.333333333333333,
2023-10-04,Punjab,Sangrur,2.0,5.0,,,,
2023-10-04,Punjab,Shahid Bhagat Singh Nagar,1.0,,,,,
2023-10-04,Punjab,Tarn Taran,37.0,41.0,6.0,,25.333333333333332,
2023-10-05,Haryana,Ambala,12.0,16.0,17.0,,15.0,
2023-10-05,Haryana,Bhiwani,1.0,1.0,,,,
2023-10-05,Haryana,Fatehabad,10.0,5.0,5.0,,3.6666666666666665,
2023-10-05,Haryana,Hisar,6.0,8.0,1.0,,4.666666666666667,
2023-10-05,Haryana,Jhajjar,3.0,4.0,1.0,,2.0,
2023-10-05,Haryana,Jind,9.0,6.0,1.0,,2.6666666666666665,
2023-10-05,Haryana,Kaithal,3.0,2.0,7.0,,4.666666666666667,
2023-10-05,Haryana,Kurukshetra,9.0,10.0,14.0,,9.333333333333334,
2023-10-05,Haryana,Nuh,1.0,,,,,
2023-10-05,Haryana,Palwal,5.0,4.0,6.0,,5.666666666666667,
2023-10-05,Haryana,Panipat,4.0,2.0,1.0,,2.0,
2023-10-05,Haryana,Sirsa,3.0,1.0,,,,
2023-10-05,Haryana,Sonipat,2.0,5.0,3.0,,3.3333333333333335,
2023-10-05,Haryana,Yamunanagar,5.0,2.0,15.0,,6.666666666666667,
2023-10-05,Punjab,Amritsar,130.0,95.0,174.0,,115.66666666666667,
2023-10-05,Punjab,Barnala,1.0,1.0,1.0,,1.3333333333333333,
2023-10-05,Punjab,Bathinda,5.0,6.0,5.0,,4.333333333333333,
2023-10-05,Punjab,Faridkot,1.0,1.0,,,,
2023-10-05,Punjab,Fatehgarh Sahib,2.0,1.0,,,,
2023-10-05,Punjab,Fazilka,1.0,1.0,,,,
2023-10-05,Punjab,Ferozepur,8.0,5.0,8.0,,5.666666666666667,
2023-10-05,Punjab,Gurdaspur,6.0,1.0,1.0,,1.6666666666666667,
2023-10-05,Punjab,Jalandhar,9.0,1.0,5.0,,3.0,
2023-10-05,Punjab,Kapurthala,11.0,13.0,14.0,,14.0,
2023-10-05,Punjab,Malerkotla,1.0,1.0,,,,
2023-10-05,Punjab,Mansa,7.0,3.0,,,,
2023-10-05,Punjab,Patiala,20.0,17.0,21.0,,16.666666666666668,
2023-10-05,Punjab,Rupnagar,1.0,1.0,,,,
