date,state,district,fire_count
2026-09-11,Haryana,Hisar,1
2026-09-11,Punjab,Tarn Taran,1
2026-09-12,Haryana,Faridabad,5
2026-09-12,Punjab,Amritsar,3
2026-09-13,Haryana,Faridabad,3
2026-09-13,Haryana,Gurugram,1
2026-09-13,Haryana,Jhajjar,2
2026-09-13,Punjab,Amritsar,3
2026-09-13,Punjab,Bathinda,2
2026-09-13,Punjab,Tarn Taran,1
2026-09-14,Haryana,Faridabad,2
2026-09-14,Haryana,Hisar,1
2026-09-14,Haryana,Jhajjar,1
2026-09-14,Punjab,Amritsar,2
2026-09-14,Punjab,Bathinda,2
2026-09-14,Punjab,Ludhiana,1
2026-09-14,Punjab,Tarn Taran,1
2026-09-15,Haryana,Faridabad,1
2026-09-15,Haryana,Jhajjar,2
2026-09-15,Haryana,Panipat,1
2026-09-15,Punjab,Amritsar,3
2026-09-15,Punjab,Bathinda,1
2026-09-15,Punjab,Ferozepur,2
2026-09-15,Punjab,Hoshiarpur,1
2026-09-15,Punjab,Mansa,2
2026-09-15,Punjab,Tarn Taran,2
2026-09-16,Punjab,Amritsar,4
2026-09-16,Punjab,Hoshiarpur,1
2026-09-16,Punjab,Patiala,1
2026-09-16,Punjab,Tarn Taran,1
2026-09-17,Haryana,Faridabad,1
2026-09-17,Haryana,Jhajjar,1
2026-09-18,Haryana,Faridabad,2
2026-09-18,Haryana,Hisar,1
2026-09-18,Haryana,Jhajjar,4
2026-09-18,Haryana,Sonipat,1
2026-09-18,Punjab,S A S Nagar,1
2026-09-18,Punjab,Tarn Taran,1
