latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_ti5,frp,daynight
27.75157,74.47194,343.81,0.33,0.55,2026-09-11,731,N21,VIIRS,n,2.0NRT,303.68,3.31,D
27.75231,74.47518,336.59,0.33,0.55,2026-09-11,731,N21,VIIRS,n,2.0NRT,302.78,5.24,D
27.75248,74.47375,350.83,0.33,0.55,2026-09-11,731,N21,VIIRS,n,2.0NRT,304.33,6.72,D
27.75653,74.47059,337.62,0.33,0.55,2026-09-11,731,N21,VIIRS,n,2.0NRT,304.01,3.31,D
30.62286,73.82132,336.28,0.63,0.54,2026-09-11,731,N21,VIIRS,n,2.0NRT,299.96,9.0,D
30.85914,74.36917,347.79,0.57,0.52,2026-09-11,731,N21,VIIRS,n,2.0NRT,301.96,21.78,D
30.98748,74.20461,340.2,0.58,0.52,2026-09-11,731,N21,VIIRS,n,2.0NRT,300.65,9.25,D
30.98889,74.20782,339.84,0.58,0.52,2026-09-11,731,N21,VIIRS,n,2.0NRT,300.87,14.78,D
31.1145,74.67035,339.39,0.54,0.51,2026-09-11,731,N21,VIIRS,n,2.0NRT,298.55,6.49,D
31.11475,74.66734,339.31,0.55,0.51,2026-09-11,731,N21,VIIRS,n,2.0NRT,298.98,4.29,D
31.32291,74.4838,342.04,0.55,0.51,2026-09-11,731,N21,VIIRS,n,2.0NRT,299.68,7.71,D
31.39054,75.07154,331.47,0.51,0.49,2026-09-11,731,N21,VIIRS,n,2.0NRT,298.9,4.44,D
31.61656,76.17597,335.25,0.44,0.46,2026-09-11,731,N21,VIIRS,n,2.0NRT,295.54,4.46,D
31.61751,76.18054,331.97,0.44,0.46,2026-09-11,731,N21,VIIRS,n,2.0NRT,296.42,5.4,D
29.12307,75.77782,304.05,0.44,0.62,2026-09-11,1955,N21,VIIRS,n,2.0NRT,288.09,1.31,N
31.71096,74.98926,331.99,0.48,0.64,2026-09-12,714,N21,VIIRS,n,2.0NRT,291.72,4.81,D
31.72677,74.97857,329.29,0.48,0.64,2026-09-12,714,N21,VIIRS,n,2.0NRT,291.47,6.54,D
