date,state,district,T2M,RH2M,WS2M,PRECTOTCORR
2026-09-19,Haryana,Ambala,27.2,67,3.2,0.0
2026-09-19,Haryana,Bhiwani,27.7,70,4.5,0.0
2026-09-19,Haryana,Charkhi Dadri,27.5,70,4.7,0.0
2026-09-19,Haryana,Faridabad,28.3,69,5.0,0.0
2026-09-19,Haryana,Fatehabad,27.8,74,3.2,0.0
2026-09-19,Haryana,Gurugram,27.4,70,5.0,0.0
2026-09-19,Haryana,Hisar,28.2,68,3.4,0.0
2026-09-19,Haryana,Jhajjar,27.6,71,5.0,0.0
2026-09-19,Haryana,Jind,27.5,74,3.6,0.0
2026-09-19,Haryana,Kaithal,27.1,73,4.6,0.0
2026-09-19,Haryana,Karnal,27.4,71,5.2,0.0
2026-09-19,Haryana,Kurukshetra,26.9,72,4.6,0.0
2026-09-19,Haryana,Mahendragarh,27.7,68,5.5,0.0
2026-09-19,Haryana,Nuh,27.9,70,5.4,0.0
2026-09-19,Haryana,Palwal,27.5,73,5.5,0.0
2026-09-19,Haryana,Panchkula,24.3,70,5.3,0.4
2026-09-19,Haryana,Panipat,27.2,74,4.2,0.0
2026-09-19,Haryana,Rewari,28.0,66,6.1,0.0
2026-09-19,Haryana,Rohtak,27.6,70,4.2,0.0
2026-09-19,Haryana,Sirsa,28.3,72,3.0,0.0
2026-09-19,Haryana,Sonipat,27.7,69,4.2,0.0
2026-09-19,Haryana,Yamunanagar,26.6,75,3.5,0.0
2026-09-19,Punjab,Amritsar,26.8,72,3.4,0.0
2026-09-19,Punjab,Barnala,27.1,76,2.2,0.0
2026-09-19,Punjab,Bathinda,28.5,68,2.3,0.0
2026-09-19,Punjab,Faridkot,28.2,70,2.7,0.0
2026-09-19,Punjab,Fatehgarh Sahib,27.2,67,5.2,0.0
2026-09-19,Punjab,Fazilka,28.5,69,2.8,0.0
2026-09-19,Punjab,Ferozepur,28.2,70,2.7,0.0
2026-09-19,Punjab,Gurdaspur,27.1,70,3.4,0.0
2026-09-19,Punjab,Hoshiarpur,27.7,63,4.5,0.0
2026-09-19,Punjab,Jalandhar,27.3,72,2.6,0.0
2026-09-19,Punjab,Kapurthala,27.4,71,2.4,0.0
2026-09-19,Punjab,Ludhiana,27.7,66,4.0,0.0
2026-09-19,Punjab,Malerkotla,27.0,73,3.9,0.0
2026-09-19,Punjab,Mansa,27.8,74,3.1,0.0
2026-09-19,Punjab,Moga,28.1,68,2.1,0.0
2026-09-19,Punjab,Pathankot,25.3,72,4.3,0.0
2026-09-19,Punjab,Patiala,27.6,68,4.4,0.0
2026-09-19,Punjab,Rupnagar,26.7,68,1.7,0.0
2026-09-19,Punjab,S A S Nagar,26.9,67,2.9,0.0
2026-09-19,Punjab,Sangrur,27.5,73,4.1,0.0
2026-09-19,Punjab,Shahid Bhagat Singh Nagar,28.3,61,5.3,0.0
2026-09-19,Punjab,Sri Muktsar Sahib,28.3,71,2.6,0.0
2026-09-19,Punjab,Tarn Taran,27.3,72,3.1,0.0
2026-09-20,Haryana,Ambala,27.9,66,5.7,0.0
2026-09-20,Haryana,Bhiwani,27.8,66,4.3,0.0
2026-09-20,Haryana,Charkhi Dadri,27.8,67,3.8,0.0
2026-09-20,Haryana,Faridabad,28.5,73,2.8,0.0
2026-09-20,Haryana,Fatehabad,27.7,73,3.2,0.0
2026-09-20,Haryana,Gurugram,27.8,73,4.2,0.0
2026-09-20,Haryana,Hisar,28.2,68,3.6,0.0
2026-09-20,Haryana,Jhajjar,27.9,72,4.4,0.0
2026-09-20,Haryana,Jind,27.6,71,3.6,0.0
2026-09-20,Haryana,Kaithal,27.6,70,3.9,0.0
2026-09-20,Haryana,Karnal,27.6,71,3.7,0.0
2026-09-20,Haryana,Kurukshetra,27.3,72,4.4,0.0
2026-09-20,Haryana,Mahendragarh,28.1,64,5.0,0.1
2026-09-20,Haryana,Nuh,28.0,75,3.4,0.0
2026-09-20,Haryana,Palwal,27.6,79,2.9,0.0
2026-09-20,Haryana,Panchkula,25.0,70,6.7,0.0
2026-09-20,Haryana,Panipat,27.2,76,2.8,0.0
2026-09-20,Haryana,Rewari,28.3,68,4.6,0.0
2026-09-20,Haryana,Rohtak,27.7,71,3.3,0.0
2026-09-20,Haryana,Sirsa,28.2,70,3.9,0.0
2026-09-20,Haryana,Sonipat,27.7,70,3.3,0.0
2026-09-20,Haryana,Yamunanagar,27.3,73,4.1,0.0
2026-09-20,Punjab,Amritsar,27.0,72,4.0,0.0
2026-09-20,Punjab,Barnala,26.9,76,3.3,0.0
2026-09-20,Punjab,Bathinda,28.1,68,3.1,0.0
2026-09-20,Punjab,Faridkot,28.1,70,3.1,0.0
2026-09-20,Punjab,Fatehgarh Sahib,28.0,63,6.0,0.0
2026-09-20,Punjab,Fazilka,28.1,70,4.6,0.0
2026-09-20,Punjab,Ferozepur,28.2,68,3.7,0.0
2026-09-20,Punjab,Gurdaspur,27.2,71,4.7,0.0
2026-09-20,Punjab,Hoshiarpur,28.0,62,5.6,0.0
2026-09-20,Punjab,Jalandhar,27.5,69,4.2,0.0
2026-09-20,Punjab,Kapurthala,27.3,70,4.0,0.0
2026-09-20,Punjab,Ludhiana,28.2,62,5.1,0.0
2026-09-20,Punjab,Malerkotla,27.2,70,4.7,0.0
2026-09-20,Punjab,Mansa,27.6,73,3.1,0.0
2026-09-20,Punjab,Moga,28.1,64,3.6,0.0
2026-09-20,Punjab,Pathankot,25.9,73,4.5,0.0
2026-09-20,Punjab,Patiala,28.0,66,4.9,0.0
2026-09-20,Punjab,Rupnagar,27.6,63,3.2,0.0
2026-09-20,Punjab,S A S Nagar,27.6,65,4.9,0.0
2026-09-20,Punjab,Sangrur,27.7,71,3.8,0.0
2026-09-20,Punjab,Shahid Bhagat Singh Nagar,28.8,56,6.2,0.0
2026-09-20,Punjab,Sri Muktsar Sahib,28.2,71,4.1,0.0
2026-09-20,Punjab,Tarn Taran,27.4,70,3.9,0.0
2026-09-21,Haryana,Ambala,28.4,62,7.8,0.0
2026-09-21,Haryana,Bhiwani,28.1,64,4.9,0.0
2026-09-21,Haryana,Charkhi Dadri,28.1,64,4.7,0.0
2026-09-21,Haryana,Faridabad,29.7,62,5.0,0.0
2026-09-21,Haryana,Fatehabad,27.3,71,5.5,0.0
2026-09-21,Haryana,Gurugram,28.1,68,5.3,0.0
2026-09-21,Haryana,Hisar,28.0,68,4.9,0.0
2026-09-21,Haryana,Jhajjar,28.1,66,5.9,0.0
2026-09-21,Haryana,Jind,27.2,70,7.0,0.0
2026-09-21,Haryana,Kaithal,27.5,68,8.0,0.0
2026-09-21,Haryana,Karnal,27.9,66,8.6,0.0
2026-09-21,Haryana,Kurukshetra,27.8,66,8.9,0.0
2026-09-21,Haryana,Mahendragarh,28.8,60,4.6,0.0
2026-09-21,Haryana,Nuh,28.9,66,5.6,0.0
2026-09-21,Haryana,Palwal,28.3,71,5.9,0.0
2026-09-21,Haryana,Panchkula,25.5,67,7.3,0.0
2026-09-21,Haryana,Panipat,27.4,70,7.7,0.0
