district,state,date,fire_count,year,month,day,day_of_season,T2M,RH2M,WS2M,PRECTOTCORR,fire_lag_1d,fire_lag_3d,fire_lag_7d,fire_mean_3d,fire_mean_7d,next_day_fire_count
Ambala,Haryana,2023-10-08,22,2023,10,8,8,24.65,68.55,1.31,0.0,10.0,12.0,2.0,10.0,11.0,8.0
Ambala,Haryana,2023-10-09,8,2023,10,9,9,25.11,69.82,1.0,0.0,22.0,8.0,17.0,13.333333333333334,13.857142857142858,1.0
Ambala,Haryana,2023-10-10,1,2023,10,10,10,24.64,68.07,1.35,5.61,8.0,10.0,12.0,13.333333333333334,12.571428571428571,3.0
Ambala,Haryana,2023-10-11,3,2023,10,11,11,22.85,70.94,1.78,0.0,1.0,22.0,16.0,10.333333333333334,11.0,13.0
Ambala,Haryana,2023-10-12,13,2023,10,12,12,22.92,67.62,1.33,0.0,3.0,8.0,12.0,4.0,9.142857142857142,13.0
Ambala,Haryana,2023-10-13,13,2023,10,13,13,22.71,68.92,1.25,0.0,13.0,1.0,8.0,5.666666666666667,9.285714285714286,13.0
Ambala,Haryana,2023-10-14,13,2023,10,14,14,23.93,64.4,1.56,1.5,13.0,3.0,10.0,9.666666666666666,10.0,23.0
Ambala,Haryana,2023-10-15,23,2023,10,15,15,23.74,63.93,1.13,0.19,13.0,13.0,22.0,13.0,10.428571428571429,0.0
Ambala,Haryana,2023-10-16,0,2023,10,16,16,21.16,78.39,1.26,18.94,23.0,13.0,8.0,16.333333333333332,10.571428571428571,0.0
Ambala,Haryana,2023-10-17,0,2023,10,17,17,20.31,78.22,1.23,3.51,0.0,13.0,1.0,12.0,9.428571428571429,1.0
Ambala,Haryana,2023-10-18,1,2023,10,18,18,19.58,73.45,1.96,0.44,0.0,23.0,3.0,7.666666666666667,9.285714285714286,3.0
Ambala,Haryana,2023-10-19,3,2023,10,19,19,19.67,70.75,1.65,0.0,1.0,0.0,13.0,0.3333333333333333,9.0,7.0
Ambala,Haryana,2023-10-20,7,2023,10,20,20,20.13,63.65,1.04,0.0,3.0,0.0,13.0,1.3333333333333333,7.571428571428571,11.0
Ambala,Haryana,2023-10-21,11,2023,10,21,21,20.77,59.04,1.05,0.0,7.0,1.0,13.0,3.6666666666666665,6.714285714285714,0.0
Ambala,Haryana,2023-10-22,0,2023,10,22,22,20.86,66.85,1.34,0.0,11.0,3.0,23.0,7.0,6.428571428571429,12.0
Ambala,Haryana,2023-10-23,12,2023,10,23,23,21.42,64.45,0.94,0.13,0.0,7.0,0.0,6.0,3.142857142857143,30.0
